country,country_name,year,inflation_cpi_pct,interest_rate_pct,exports_pct_gdp,imports_pct_gdp,gdp_current_usd,gdp_growth_pct,unemployment_rate_pct
ID,Indonesia,2003-01-01,6.75731256333564,10.8520711478648,30.4776547809661,23.1388389663355,234772463823.808,4.78036912167654,6.657
ID,Indonesia,2004-01-01,6.06406189133648,5.13441023123413,32.2166946182599,27.5446002184312,256836875295.452,5.03087394501685,7.303
ID,Indonesia,2005-01-01,10.4532001873347,-0.245735467014808,34.0672676279992,29.9206682408643,285868619196.085,5.69257130383384,7.945
ID,Indonesia,2006-01-01,13.108670985346,1.65815142163524,31.0347163143166,25.6224105005701,364570515618.357,5.50095178520348,7.551
ID,Indonesia,2007-01-01,6.40656087966005,2.33967409088073,29.4357184851264,25.3935314930811,432216737774.861,6.34502222667214,8.06
ID,Indonesia,2008-01-01,10.2266663272483,-3.85224502633455,29.8082841673732,28.7531154639229,510228634992.258,6.01370360009123,7.208
ID,Indonesia,2009-01-01,4.38641311792074,5.74795209578427,24.1591196686279,21.3530017000775,539580085612.401,4.62887118256153,6.106
ID,Indonesia,2010-01-01,5.13420639015885,-1.74609753559597,24.2990309366408,22.4022429392329,755094157621.936,6.22385418062366,5.614
ID,Indonesia,2011-01-01,5.35604849112582,4.59437674883754,26.3273530888836,23.8526600952268,892969104563.171,6.16978420771008,5.153
ID,Indonesia,2012-01-01,4.2795142691943,7.75018856489028,24.5943787881769,24.9885195110858,917869913332.649,6.03005065305615,4.468
ID,Indonesia,2013-01-01,6.41249457900391,6.37493124212137,23.9235763793605,24.7137962959288,912524136718.018,5.5572636889101,4.336
ID,Indonesia,2014-01-01,6.39492882396559,6.79211858069728,23.6659845969367,24.414190988586,890814755533.537,5.006668425755,4.049
ID,Indonesia,2015-01-01,6.36312061196646,8.34991063469474,21.1601792598059,20.7774609817235,860854232686.214,4.87632230022123,4.514
ID,Indonesia,2016-01-01,3.52580452815451,9.22443234413206,19.0889938536664,18.3323479486654,931877364037.698,5.03306918280177,4.301
ID,Indonesia,2017-01-01,3.80879857691949,6.50156399609036,20.1773044351106,19.17819263535,1015618744159.73,5.06978590134916,3.783
ID,Indonesia,2018-01-01,3.19834755924996,6.47124983937941,21.0027464972455,22.0715624579547,1042271532988.63,5.17429153955024,4.387
ID,Indonesia,2019-01-01,3.03058460941661,8.62940479031393,18.5915277970883,19.0362497386225,1119099871350.2,5.01928768046282,3.59
ID,Indonesia,2020-01-01,1.91983527270793,9.98592671987597,17.3311682848923,15.6410071153504,1059054842698.48,-2.06551182934165,4.255
ID,Indonesia,2021-01-01,1.56007882983334,2.7532239499583,21.4165556390653,18.7882026359018,1186509691086.73,3.70288562827751,3.827
ID,Indonesia,2022-01-01,4.20946463714784,-0.957376340510305,24.5029116862832,20.9617585096621,1319101183380.15,5.30719722664799,3.462
ID,Indonesia,2023-01-01,3.66938654859761,7.28506359409343,21.7538472039177,19.5824396668474,1371169301563.62,5.04902331835997,3.308
ID,Indonesia,2024-01-01,2.18151273615189,7.83418010229542,22.18331286866,20.389334433174,1396300098190.97,5.03034469419038,3.301
IN,India,2000-01-01,4.0094359104519,8.34261083140927,12.9972363113479,13.9036865990995,468395521654.458,3.84099115659129,7.589
IN,India,2001-01-01,3.77929312235637,8.59144929637163,12.5583796339108,13.4348751195257,485440139204.171,4.82396626555771,7.611
IN,India,2002-01-01,4.29715203929563,7.90717718897463,14.2643839243147,15.2442790107467,514939140318.756,3.80397532112175,7.681
IN,India,2003-01-01,3.80585899528851,7.30788116038414,14.9479138581734,15.6445222747346,607700687237.318,7.8603814759073,7.633
IN,India,2004-01-01,3.76725173477515,4.9101283033462,17.8591249630479,19.6446890963991,709152728830.775,7.92293661199932,7.598
IN,India,2005-01-01,4.24634362031922,4.85514517186609,19.6052466948335,22.3964229200356,820383763511.445,7.92343062148318,7.551
IN,India,2006-01-01,5.79652337561634,2.5706067017683,21.2679414221966,24.4565390770687,940259888787.721,8.06073257166651,7.553
IN,India,2007-01-01,6.37288135593231,5.68184406453711,20.7996997489032,24.8865689304448,1216736438834.96,7.6608150670107,7.562
IN,India,2008-01-01,8.34926704907581,3.77175624965394,24.0973572601391,29.2708631790835,1198895139005.92,3.08669805921981,7.629
IN,India,2009-01-01,10.8823529411764,4.80859210766597,20.4005193743564,25.8723502685274,1341888016994.9,7.86188883286074,7.636
IN,India,2010-01-01,11.9893899204244,-1.98385922139866,22.4009332487945,26.8542732486216,1675615519484.96,8.49758470221235,7.631
IN,India,2011-01-01,8.91179336483371,1.31798086194015,24.5404113195713,31.0834686939585,1823051829894.55,5.24131619937695,7.609
IN,India,2012-01-01,9.47899691419801,2.47352048880901,24.534430661418,31.2592910673332,1827637590410.41,5.45638755166587,7.645
IN,India,2013-01-01,10.0178784746102,3.86599286270871,25.430861300519,28.4132706461587,1856721507621.58,6.38610640094825,7.678
IN,India,2014-01-01,6.66565671867899,6.69517609043592,22.9679630081172,25.9542227389497,2039126479154.52,7.41022760508854,7.656
IN,India,2015-01-01,4.90697344127256,7.55648841353986,19.8131891564045,22.1097247094602,2103588360044.94,7.99625378571471,7.629
IN,India,2016-01-01,4.94821634062141,6.2327114148242,19.1582349105946,20.9242508026814,2294796885663.16,8.25630550179086,7.611
IN,India,2017-01-01,3.32817337461298,5.32760886237311,18.7917648392982,21.9507321152243,2651474262755.45,6.79538341897911,7.626
