month,country,gdp_growth,exports,imports,inflation,unemployment,dgs10_yield_pct,sentiment_score,currency crisis,debt crisis,year,interest_rate,gdp_growth_lag1,gdp_growth_lag3,gdp_growth_lag6,inflation_lag1,inflation_lag3,inflation_lag6,unemployment_lag1,unemployment_lag3,unemployment_lag6,interest_rate_lag1,interest_rate_lag3,interest_rate_lag6,gdp_growth_roll3,gdp_growth_roll6,inflation_roll3,inflation_roll6,unemployment_roll3,unemployment_roll6,interest_rate_roll3,interest_rate_roll6,gdp_growth_momentum,inflation_momentum,unemployment_momentum,interest_rate_momentum,stress_index,risk_label
7,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.80434994635721,1.54,1.54,1.54,3.8043499463572097,3.8043499463572097,3.8043499463572097,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.54,1.54,3.8043499463572097,3.8043499463572097,0.0,0.0,0.0,0.0,-45684184572.58236,0
8,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.80434994635721,1.54,1.54,1.54,3.8043499463572097,3.8043499463572097,3.8043499463572097,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.54,1.54,3.8043499463572097,3.8043499463572097,0.0,0.0,0.0,0.0,-45684184572.58236,0
9,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.80434994635721,1.54,1.54,1.54,3.8043499463572097,3.8043499463572097,3.8043499463572097,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.54,1.54,3.8043499463572097,3.8043499463572097,0.0,0.0,0.0,0.0,-45684184572.58236,0
10,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.80434994635721,1.54,1.54,1.54,3.8043499463572097,3.8043499463572097,3.8043499463572097,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.54,1.54,3.8043499463572097,3.8043499463572097,0.0,0.0,0.0,0.0,-45684184572.58236,0
11,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.80434994635721,1.54,1.54,1.54,3.8043499463572097,3.8043499463572097,3.8043499463572097,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.54,1.54,3.8043499463572097,3.8043499463572097,0.0,0.0,0.0,0.0,-45684184572.58236,0
12,THA,152280615245.887,61.522551633189,55.1702680716755,1.80434994635721,1.54,3.152272727272727,,,,2003,3.8043499463572097,152280615245.887,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.80434994635721,1.54,1.54,1.54,3.8043499463572097,3.8043499463572097,3.8043499463572097,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.54,1.54,3.8043499463572097,3.8043499463572097,0.0,0.0,0.0,0.0,-45684184572.58236,0
1,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,152280615245.887,152280615245.887,152280615245.887,1.80434994635721,1.80434994635721,1.80434994635721,1.54,1.54,1.54,3.8043499463572097,3.8043499463572097,3.8043499463572097,159152305215.47733,155716460230.68216,2.1226163850084068,1.9634831656828082,1.53,1.5350000000000001,4.122616385008406,3.963483165682808,20615069908.770996,0.9547993159535901,-0.030000000000000027,0.9547993159535899,-51868705544.84073,0
2,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,152280615245.887,152280615245.887,2.7591492623108,1.80434994635721,1.80434994635721,1.51,1.54,1.54,4.7591492623108,3.8043499463572097,3.8043499463572097,166023995185.06766,159152305215.47733,2.4408828236596034,2.1226163850084068,1.5200000000000002,1.53,4.440882823659603,4.122616385008406,20615069908.770996,0.9547993159535901,-0.030000000000000027,0.9547993159535899,-51868705544.84073,0
3,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,152280615245.887,152280615245.887,2.7591492623108,1.80434994635721,1.80434994635721,1.51,1.54,1.54,4.7591492623108,3.8043499463572097,3.8043499463572097,172895685154.658,162588150200.2725,2.7591492623108,2.281749604334005,1.51,1.5250000000000001,4.7591492623108,4.281749604334005,20615069908.770996,0.9547993159535901,-0.030000000000000027,0.9547993159535899,-51868705544.84073,0
4,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,172895685154.658,152280615245.887,2.7591492623108,2.7591492623108,1.80434994635721,1.51,1.51,1.54,4.7591492623108,4.7591492623108,3.8043499463572097,172895685154.658,166023995185.06766,2.7591492623108,2.4408828236596034,1.51,1.5200000000000002,4.7591492623108,4.440882823659603,0.0,0.0,0.0,0.0,-51868705544.84073,0
5,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,172895685154.658,152280615245.887,2.7591492623108,2.7591492623108,1.80434994635721,1.51,1.51,1.54,4.7591492623108,4.7591492623108,3.8043499463572097,172895685154.658,169459840169.86282,2.7591492623108,2.6000160429852017,1.51,1.515,4.7591492623108,4.600016042985201,0.0,0.0,0.0,0.0,-51868705544.84073,0
6,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,172895685154.658,152280615245.887,2.7591492623108,2.7591492623108,1.80434994635721,1.51,1.51,1.54,4.7591492623108,4.7591492623108,3.8043499463572097,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,1.51,1.51,4.7591492623108,4.7591492623108,0.0,0.0,0.0,0.0,-51868705544.84073,0
7,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,2.7591492623108,1.51,1.51,1.51,4.7591492623108,4.7591492623108,4.7591492623108,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,1.51,1.51,4.7591492623108,4.7591492623108,0.0,0.0,0.0,0.0,-51868705544.84073,0
8,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,2.7591492623108,1.51,1.51,1.51,4.7591492623108,4.7591492623108,4.7591492623108,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,1.51,1.51,4.7591492623108,4.7591492623108,0.0,0.0,0.0,0.0,-51868705544.84073,0
9,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,2.7591492623108,1.51,1.51,1.51,4.7591492623108,4.7591492623108,4.7591492623108,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,1.51,1.51,4.7591492623108,4.7591492623108,0.0,0.0,0.0,0.0,-51868705544.84073,0
10,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,2.7591492623108,1.51,1.51,1.51,4.7591492623108,4.7591492623108,4.7591492623108,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,1.51,1.51,4.7591492623108,4.7591492623108,0.0,0.0,0.0,0.0,-51868705544.84073,0
11,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,2.7591492623108,1.51,1.51,1.51,4.7591492623108,4.7591492623108,4.7591492623108,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,1.51,1.51,4.7591492623108,4.7591492623108,0.0,0.0,0.0,0.0,-51868705544.84073,0
12,THA,172895685154.658,65.9718573391185,61.4400163812742,2.7591492623108,1.51,3.152272727272727,,,,2004,4.7591492623108,172895685154.658,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,2.7591492623108,1.51,1.51,1.51,4.7591492623108,4.7591492623108,4.7591492623108,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,1.51,1.51,4.7591492623108,4.7591492623108,0.0,0.0,0.0,0.0,-51868705544.84073,0
1,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,172895685154.658,172895685154.658,172895685154.658,2.7591492623108,2.7591492623108,2.7591492623108,1.51,1.51,1.51,4.7591492623108,4.7591492623108,4.7591492623108,178369926259.30368,175632805706.98083,3.3528892403223165,3.0560192513165583,1.4566666666666668,1.4833333333333334,5.352889240322316,5.056019251316558,16422723313.937012,1.7812199340345498,-0.15999999999999992,1.7812199340345503,-56795522538.35735,0
2,THA,189318408468.595,68.402716900887,69.4511499313604,4.54036919634535,1.35,3.152272727272727,,,,2005,6.54036919634535,189318408468.595,172895685154.658,172895685154.658,4.54036919634535,2.7591492623108,2.7591492623108,1.35,1.51,1.51,6.54036919634535,4.7591492623108,4.7591492623108,183844167363.94934,178369926259.30368,3.946629218333833,3.3528892403223165,1.4033333333333335,1.4566666666666668,5.9466292183338325,5.352889240322316,16422723313.937012,1.7812199340345498,-0.15999999999999992,1.7812199340345503,-56795522538.35735,0
