country,month,y_true,y_pred,y_prob
IDN,2018-11-30,0,0,0.4356249284741134
IND,2018-11-30,0,1,0.7852449737087287
BEL,2018-11-30,0,0,0.22970908503675405
JPN,2018-11-30,0,0,0.38102949633521477
RUS,2018-11-30,0,0,0.4776736817768928
SAU,2018-11-30,0,0,0.30726071012645634
NLD,2018-11-30,0,0,0.22285791423050264
SWE,2018-11-30,0,0,0.19836083704127647
SGP,2018-11-30,0,0,0.20750251883327384
TUR,2018-11-30,0,1,0.7347006844747749
MEX,2018-11-30,0,1,0.7328772841569781
CHN,2018-11-30,0,0,0.37518729105864645
POL,2018-12-31,0,0,0.19461879274550367
TUR,2018-12-31,1,1,0.7551327324394377
KOR,2018-12-31,0,0,0.40338365550527344
DEU,2018-12-31,0,0,0.35839787531195055
BEL,2018-12-31,0,0,0.19358725982174088
IDN,2018-12-31,0,0,0.4570611600063606
SAU,2018-12-31,0,0,0.41771384093022595
ESP,2018-12-31,0,0,0.24669805407290893
IRL,2018-12-31,0,0,0.19128885918324134
ARE,2018-12-31,0,0,0.27741442924623877
FRA,2018-12-31,0,0,0.4698811556618127
CAN,2018-12-31,0,0,0.5901390167332837
SGP,2018-12-31,0,0,0.19827527217800703
GBR,2018-12-31,0,1,0.6579996416366849
ITA,2018-12-31,0,0,0.33201183081026714
USA,2018-12-31,0,0,0.4536603034861639
CHN,2018-12-31,0,0,0.4381225919826515
CHE,2018-12-31,0,0,0.23987565801991004
AUS,2018-12-31,0,0,0.37497920401759727
MEX,2018-12-31,0,1,0.6723252419433271
ISR,2018-12-31,0,0,0.3883174755374544
NLD,2018-12-31,0,0,0.20274049176444886
IND,2018-12-31,0,1,0.7520940829615078
NOR,2018-12-31,0,1,0.6908346129897714
JPN,2018-12-31,0,0,0.36674382051430715
ARG,2018-12-31,1,1,0.6252060763221318
RUS,2018-12-31,0,0,0.39007735554707784
BRA,2018-12-31,1,0,0.3847529955948253
THA,2018-12-31,0,0,0.2168698405084375
SWE,2018-12-31,0,0,0.2152822950762117
IRL,2019-01-31,0,0,0.18749393170279802
MEX,2019-01-31,0,0,0.26689470887165484
CHE,2019-01-31,0,0,0.193069401405501
DEU,2019-01-31,0,0,0.21534372373201474
BRA,2019-01-31,0,0,0.32313060321542547
BEL,2019-01-31,0,0,0.19009692318894503
ARE,2019-01-31,0,0,0.19657053042925995
JPN,2019-01-31,0,0,0.20854918021298688
KOR,2019-01-31,0,0,0.2359805562192434
ISR,2019-01-31,0,0,0.3188150218386204
ARG,2019-01-31,0,0,0.3352659232873853
CAN,2019-01-31,0,0,0.2769322276052712
NOR,2019-01-31,0,0,0.25098678501455013
THA,2019-01-31,0,0,0.22552739155532353
SWE,2019-01-31,0,0,0.1887643649751286
USA,2019-01-31,0,0,0.22802524449150208
IND,2019-01-31,0,0,0.3301937734624288
NLD,2019-01-31,0,0,0.22631601736199322
AUS,2019-01-31,0,0,0.23402626923139466
RUS,2019-01-31,0,0,0.3004002509012694
ITA,2019-01-31,0,0,0.19911134513417342
SGP,2019-01-31,0,0,0.20767558207109463
FRA,2019-01-31,0,0,0.26562687675190166
GBR,2019-01-31,0,0,0.23551071301200124
IDN,2019-01-31,0,0,0.24876347413109023
CHN,2019-01-31,0,0,0.2730056720847605
SAU,2019-01-31,0,0,0.19580486455943236
ESP,2019-01-31,0,0,0.2329221645850195
POL,2019-01-31,0,0,0.21353429208288355
TUR,2019-01-31,0,0,0.41346574093534216
USA,2019-02-28,0,0,0.26591200539255716
SAU,2019-02-28,0,0,0.20836320657014493
ESP,2019-02-28,0,0,0.2019647208311716
NLD,2019-02-28,0,0,0.22880853722544256
ARG,2019-02-28,0,0,0.3320923288038356
CHE,2019-02-28,0,0,0.19020191095647299
BEL,2019-02-28,0,0,0.21172104495770083
RUS,2019-02-28,0,0,0.3897946718643131
SGP,2019-02-28,0,0,0.1885548140008119
SWE,2019-02-28,0,0,0.18705134401977083
NOR,2019-02-28,0,0,0.24945778501674443
JPN,2019-02-28,0,0,0.21282875691562905
KOR,2019-02-28,0,0,0.2795099727558121
THA,2019-02-28,0,0,0.20063497122182783
AUS,2019-02-28,0,0,0.20830250947345583
IRL,2019-02-28,0,0,0.18628149995020413
IND,2019-02-28,0,0,0.30590963167069
ITA,2019-02-28,0,0,0.21882151172887385
BRA,2019-02-28,0,0,0.29450936516120035
POL,2019-02-28,0,0,0.2048192219647522
FRA,2019-02-28,0,0,0.21490525998889023
CHN,2019-02-28,0,0,0.22396567397588085
IDN,2019-02-28,0,0,0.2525668010126209
ARE,2019-02-28,0,0,0.1912828301458734
MEX,2019-02-28,0,0,0.2794032343848356
ISR,2019-02-28,0,0,0.30940097858864846
DEU,2019-02-28,0,0,0.2873841323579955
GBR,2019-02-28,0,0,0.33212516603045605
TUR,2019-02-28,0,0,0.46932178539546476
CAN,2019-02-28,0,0,0.2184937287741233
ISR,2019-03-31,0,0,0.3912155510645989
TUR,2019-03-31,0,0,0.3363173590472243
KOR,2019-03-31,0,0,0.22137295792209158
CHE,2019-03-31,0,0,0.190124517953129
ESP,2019-03-31,0,0,0.21554918279501842
SWE,2019-03-31,0,0,0.2017773329161736
BEL,2019-03-31,0,0,0.1927583275025807
SAU,2019-03-31,0,0,0.19306681698434638
NLD,2019-03-31,0,0,0.20358830649383622
IRL,2019-03-31,0,0,0.18749451217551183
MEX,2019-03-31,0,0,0.24829933139242588
JPN,2019-03-31,0,0,0.20555823784333419
CAN,2019-03-31,0,0,0.23105458302294415
RUS,2019-03-31,0,0,0.3971761407066771
BRA,2019-03-31,0,0,0.4073929337387698
ARG,2019-03-31,0,0,0.44583843271932483
USA,2019-03-31,0,0,0.2359353977430498
GBR,2019-03-31,0,0,0.2937788614358861
POL,2019-03-31,0,0,0.2205068630407857
FRA,2019-03-31,0,0,0.2272224018277055
ARE,2019-03-31,0,0,0.19665955923579118
CHN,2019-03-31,0,0,0.34114839171816375
ITA,2019-03-31,0,0,0.19715748743396763
IND,2019-03-31,0,0,0.3136627556421551
DEU,2019-03-31,0,0,0.21523243565705316
SGP,2019-03-31,0,0,0.2064979392426289
AUS,2019-03-31,0,0,0.21878700632587256
THA,2019-03-31,0,0,0.21717341206043952
IDN,2019-03-31,0,0,0.310218266159928
NOR,2019-03-31,0,0,0.2763993830159928
CHN,2019-04-30,0,0,0.370428371119275
SGP,2019-04-30,0,0,0.1968877416641791
ISR,2019-04-30,0,0,0.38362196632400264
NOR,2019-04-30,0,0,0.22276267489365434
GBR,2019-04-30,0,0,0.2325590271002116
AUS,2019-04-30,0,0,0.2009575691962958
CAN,2019-04-30,0,0,0.24818711712079797
SAU,2019-04-30,0,0,0.19490841352802804
THA,2019-04-30,0,0,0.193719983965164
FRA,2019-04-30,0,0,0.24219963381684018
SWE,2019-04-30,0,0,0.1878645887561766
NLD,2019-04-30,0,0,0.21423522701419603
ESP,2019-04-30,0,0,0.2133088476356777
POL,2019-04-30,0,0,0.21694351598519332
ARG,2019-04-30,0,0,0.5310309109295953
ARE,2019-04-30,0,0,0.19146479433573713
ITA,2019-04-30,0,0,0.20821365739616535
BRA,2019-04-30,0,0,0.4004370577120466
IDN,2019-04-30,0,0,0.27783610889196764
RUS,2019-04-30,0,0,0.39958713167957965
IND,2019-04-30,0,0,0.44464793306264766
IRL,2019-04-30,0,0,0.18857400479998174
JPN,2019-04-30,0,0,0.26961393683660545
DEU,2019-04-30,0,0,0.21232414230395527
BEL,2019-04-30,0,0,0.18639229123464665
USA,2019-04-30,0,0,0.23122668615894457
CHE,2019-04-30,0,0,0.1874612458746474
TUR,2019-04-30,0,0,0.3298071672601323
MEX,2019-04-30,0,0,0.28271458107135294
KOR,2019-04-30,0,0,0.2867789014090761
IND,2019-05-31,0,0,0.3157013971220001
