country,month,prediction
NLD,2023-12-31,0.23773287443396215
NLD,2024-01-31,0.2753836099767162
NLD,2024-02-29,0.2225867209073847
NLD,2024-03-31,0.2753836099767162
NOR,2023-10-31,0.25528749288741875
NOR,2023-11-30,0.27131459427086646
NOR,2023-12-31,0.27294638231369844
NOR,2024-01-31,0.27294638231369844
NOR,2024-02-29,0.2568733791517837
NOR,2024-03-31,0.25528749288741875
POL,2023-10-31,0.25153667223921256
POL,2023-11-30,0.22572251460457005
POL,2023-12-31,0.25290972604553597
POL,2024-01-31,0.25290972604553597
POL,2024-02-29,0.25290972604553597
POL,2024-03-31,0.26939080732796555
RUS,2023-10-31,0.27294638231369844
RUS,2023-11-30,0.2369479948554577
RUS,2023-12-31,0.27294638231369844
RUS,2024-01-31,0.22664121103062984
RUS,2024-02-29,0.25528749288741875
RUS,2024-03-31,0.23626543660453758
SAU,2023-10-31,0.2569442000125683
SAU,2023-11-30,0.2753836099767162
SAU,2023-12-31,0.22936630724879095
SAU,2024-01-31,0.2569442000125683
SAU,2024-02-29,0.2753836099767162
SAU,2024-03-31,0.2753836099767162
SGP,2023-10-31,0.25528749288741875
SGP,2023-11-30,0.25528749288741875
SGP,2023-12-31,0.27131459427086646
SGP,2024-01-31,0.2568733791517837
SGP,2024-02-29,0.27294638231369844
SGP,2024-03-31,0.24689778093749748
SWE,2023-10-31,0.25290972604553597
SWE,2023-11-30,0.26939080732796555
SWE,2023-12-31,0.26939080732796555
SWE,2024-01-31,0.23498333826605133
SWE,2024-02-29,0.25290972604553597
SWE,2024-03-31,0.2343422240753595
THA,2023-10-31,0.2687718764758888
THA,2023-11-30,0.2468005221176778
THA,2023-12-31,0.2468005221176778
THA,2024-01-31,0.23201440636287188
THA,2024-02-29,0.267199777894244
THA,2024-03-31,0.26610236476234855
TUR,2023-10-31,0.22508698746134567
TUR,2023-11-30,0.2445403914627998
TUR,2023-12-31,0.25290972604553597
TUR,2024-01-31,0.21161528925716144
TUR,2024-02-29,0.22804676358061113
TUR,2024-03-31,0.25290972604553597
USA,2023-10-31,0.27294638231369844
USA,2023-11-30,0.23626543660453758
USA,2023-12-31,0.27294638231369844
USA,2024-01-31,0.24260622148172162
USA,2024-02-29,0.2267506051604166
USA,2024-03-31,0.25528749288741875
